repo_name,description,owner,owner_location,topic,url,num_stars,num_forks
STA561D-project,"Advances in the quality of clinical whole-slide images have enabled the systematic digital recognition of metastatic cancer from pathologic scans. To evaluate the accuracy and efficiency of digital assistance on identifying clinical-relevant samples at different severity, we conducted a study utilizing our deep learning algorithm for the detection of cancer metastasis in small image patches taken from larger digital pathology scans. 220,025 images were assessed in the training and evaluation set, and two models were used to predict the binary labels and compared: 4-layer  \textbf{Convolutional Neural Network (CNN)} and  \textbf{ImageNet pre-trained model}. This study demonstrates the potential of a deep learning algorithm to improve the computer-assisted diagnostic in pathology and clinical care",Xue (Scarlett) Zou,"Durham, NC",[],https://github.com/x811zou/STA561D-project.git,1,0
j5,j5 Framework - Creating consistent APIs for robotics,j5 Framework,University of Southampton,"['robotics', 'robotics-programming', 'robotics-library', 'robotics-competition']",https://github.com/j5api/j5.git,8,3
Cozmo-Autonomous-Driving,Machine Learning for Cozmo Robot Autonomous Driving,Steven Houston,"Belfast, N. Ireland","['machine-learning', 'deep-learning', 'autonomous-driving', 'autonomous-robots', 'cozmo-sdk', 'cozmo', 'keras']",https://github.com/sahouston/Cozmo-Autonomous-Driving.git,5,1
DeepParkour,Project for Intro To Deep Learning Class. An agent that learns to do parkour using Reinforcement Learning Policies.,Ayush Manish Agrawal,"Lincoln, NE","['pybullet', 'tensorflow', 'python', 'reinforcement-learning', 'deep-learning', 'openai-gym']",https://github.com/ayushm-agrawal/DeepParkour.git,2,0
Transfer-Learning,"Deep Learning Coursework for COMP6248 - Tasked to re-implement and write up a paper from the ICLR. The paper chosen is called ""Transfer Learning for Related Reinforcement Learning Tasks via Image-to-Image Translation"", https://arxiv.org/pdf/1806.07377.pdf",Peter,Cambridge,"['deep-learning', 'gan', 'transfer-learning', 'neural-network', 'reinforcement-learning']",https://github.com/PeteXC/Transfer-Learning.git,2,0
Zed_Camera_stuff,Using Stereolabs 3D ZED camera for autonomous vehicle perception,Llenard Gonzalo,Oxford,[],https://github.com/Lgonz95/Zed_Camera_stuff.git,1,0
autov_turtlebot_project,Autonomous vehicle simulation and environment configuration with ROS and TurtleBot3,Dena Mujtaba,"East Lansing, MI",[],https://github.com/Dmujt/autov_turtlebot_project.git,1,0
ece590hineman,Repository for course materials for ECE 590 Scalable Reinforcement Learning,Jay Hineman,"Durham, NC",[],https://github.com/jhineman/ece590hineman.git,8,12
csrl,Control Synthesis from Linear Temporal Logic Specifications using Model-Free Reinforcement Learning,Alper Kamil Bozkurt,"Durham, NC",[],https://github.com/alperkamil/csrl.git,8,1
LearningToFly,[SIGGRAPH 2019] Learning to Fly: Computational Controller Design for Hybrid UAVs with Reinforcement Learning,Jie Xu,"Cambridge, Massachusetts","['hybrid-uavs', 'drone', 'control', 'reinforcement-learning']",https://github.com/eanswer/LearningToFly.git,6,5
simple-reactive-nn,On Simple Reactive Neural Networks for Behaviour-Based Reinforcement Learning by Ameya Pore and Gerardo Aragon-Camarasa,Computer Vision and Autonomous Systems,Glasgow,"['a3c', 'subsumption-architecture', 'robotics']",https://github.com/cvas-ug/simple-reactive-nn.git,5,1
look_closer,Integrated image enhancement and recognition system for people with low-vision,Srihari J,Cambridge,[],https://github.com/srihari2761/look_closer.git,5,0
Coadaptation,"Repository replicating the design- and behaviour-adaptation algorithm using reinforcement learning algorithm presented in the paper "" Data-efficient Co-Adaptation of Morphology and Behaviour with Deep Reinforcement Learning""",Kevin Sebastian Luck,Scotland,"['deep-learning', 'deep-reinforcement-learning', 'evolutionary-algorithm', 'pybullet', 'evolutionary-robotics', 'design-adaptation', 'robotics']",https://github.com/ksluck/Coadaptation.git,4,2
datasets,A repository of pretty cool datasets that I collected for network science and machine learning research.,Benedek Rozemberczki,Edinburgh,"['network-science', 'network-analysis', 'data-science', 'machine-learning', 'gcn', 'graph-embedding', 'network-embedding', 'community-detection', 'link-prediction', 'node-classification', 'graph-convolution', 'node-embedding', 'graph-neural-network', 'gnn', 'dimensionality-reduction', 'deepwalk', 'node2vec', 'graph2vec', 'benchmark', 'dataset']",https://github.com/benedekrozemberczki/datasets.git,176,48
causal-ml,Must-read papers and resources related to causal inference and machine (deep) learning,Jason Poulos,"Durham, NC","['causal-inference', 'causal-models', 'counterfactual', 'treatment-effects', 'representation-learning', 'causal-discovery', 'paper-list', 'randomized-controlled-trials', 'heterogeneous-treatment-effects', 'counterfactual-learning', 'estimating-treatment-effects', 'causal-learning']",https://github.com/jvpoulos/causal-ml.git,39,6
generative_music_playground,This is a list of links for anyone who wants to explore making music with machine learning,Perth Machine Learning Group,"Perth, Australia",[],https://github.com/pmlg/generative_music_playground.git,28,5
resolutions-2019,A list of data mining and machine learning papers that I implemented in 2019.,Benedek Rozemberczki,Edinburgh,"['machine-learning', 'deep-learning', 'graph-convolutional-networks', 'gcn', 'graph-clustering', 'network-embedding', 'node-embedding', 'graph-embedding', 'network-science', 'pytorch', 'tensorflow', 'scipy', 'sklearn', 'attention-mechanism', 'deepwalk', 'node2vec', 'graph-classification', 'node-classification', 'graph-kernel', 'resolution']",https://github.com/benedekrozemberczki/resolutions-2019.git,18,8
ODSC_StoredDataStories,Materials (code & data) for the ODSC East 2020 Virtual Conference workshop: 'Building Data Narratives: An End-to-End Machine Learning Practicum',Paul J Kowalczyk,"Bristol, PA",[],https://github.com/pjkowalczyk/ODSC_StoredDataStories.git,11,7
CapsGNN,"A PyTorch implementation of ""Capsule Graph Neural Network"" (ICLR 2019).",Benedek Rozemberczki,Edinburgh,"['capsgnn', 'capsule-network', 'capsule-neural-networks', 'convolution', 'pytorch', 'research', 'tensorflow', 'machine-learning', 'deep-learning', 'gnn', 'deepwalk', 'node2vec', 'graph-attention-networks', 'graph-attention-model', 'graph-classification', 'sklearn', 'struc2vec', 'graph-convolution', 'graph-neural-network']",https://github.com/benedekrozemberczki/CapsGNN.git,953,173
GraphWaveletNeuralNetwork,"A PyTorch implementation of ""Graph Wavelet Neural Network"" (ICLR 2019)",Benedek Rozemberczki,Edinburgh,"['gcn', 'graph-convolutional-network', 'graph-convolution', 'pygsp', 'machine-learning', 'deep-learning', 'iclr', 'representation-learning', 'sklearn', 'pytorch', 'deepwalk', 'node2vec', 'graphsage', 'convolutional-neural-networks', 'graph-representation', 'research', 'graph-wavelet', 'tensorflow', 'graph-neural-networks', 'gwnn']",https://github.com/benedekrozemberczki/GraphWaveletNeuralNetwork.git,370,85
SimGNN,"A PyTorch implementation of  ""SimGNN: A Neural Network Approach to Fast Graph Similarity Computation"" (WSDM 2019). ",Benedek Rozemberczki,Edinburgh,"['graph-edit-distance', 'ged', 'graph-similarity', 'gcn', 'graph-convolution', 'tensor-network', 'tensorflow', 'pytorch', 'neural-network', 'deep-learning', 'machine-learning', 'graph-attention', 'attention-mechanism', 'graph-classification', 'sklearn', 'graph-embedding', 'network-embedding', 'wsdm', 'simgnn', 'gnn']",https://github.com/benedekrozemberczki/SimGNN.git,314,75
APPNP,"A PyTorch implementation of ""Predict then Propagate: Graph Neural Networks meet Personalized PageRank"" (ICLR 2019).",Benedek Rozemberczki,Edinburgh,"['gcn', 'pytorch', 'graph-convolutional-neural-networks', 'graph-neural-network', 'research', 'machine-learning', 'deep-learning', 'deepwalk', 'node2vec', 'graph-attention', 'attention', 'pagerank', 'graph-classification', 'graph-embedding', 'node-embedding', 'iclr', 'deep-neural-networks', 'ppnp', 'network-embedding', 'appnp']",https://github.com/benedekrozemberczki/APPNP.git,216,41
circuit-gnn,[ICML 2019] Circuit-GNN: Graph Neural Networks for Distributed Circuit Design http://circuit-gnn.csail.mit.edu/,Hao He,Cambridge,[],https://github.com/hehaodele/circuit-gnn.git,33,5
RPDNN,"This repository contains code for the paper ""RP-DNN: A Tweet level propagation context based deep neural networks for early rumor detection in Social Media"" By J. Gao, S. Han, X. Song, et al. - LREC 2020",jerrygao,Sheffield,"['rumor-detection', 'rumors', 'rumours', 'early-rumor-detection', 'erd', 'social-media-analysis', 'lrec2020']",https://github.com/jerrygaoLondon/RPDNN.git,11,7
mlai,"Machine Learning & Artificial Intelligence for Robotics. HW0: Particle Filter. HW1: A* Algorithm, HW2: LWLR",Maurice Rahme,Cambridge,[],https://github.com/moribots/mlai.git,2,0
AiCoursework,Coursework done for Computation Modelling & Artificial Intelligence,Alex Mayes,Bradford,[],https://github.com/Akryllyk/AiCoursework.git,1,0
Breast-Cancer-Classification,BCU - CMP6202 Artificial Intelligence Module Coursework Repository,Aleksej Zaicev,Nottingham,[],https://github.com/alexZaicev/Breast-Cancer-Classification.git,1,0
build_intent_classifier,An NLP project for my MSc. in Artificial Intelligence master thesis in Heriot-Watt University,Yifan Yu,Edinburgh,[],https://github.com/yifan0401/build_intent_classifier.git,1,0
AI-Moba-creep-simulation-with-StarLogo-TNG,To show you how Artificial Intelligence -> Intelligent Agent works. It shows how breeds represent Intelligent Agent as it's moving towards enemy base.,Jordan Maulana,"Gresik, East Java, Indonesia",[],https://github.com/jordanmaulana/AI-Moba-creep-simulation-with-StarLogo-TNG.git,1,0
facial-recognition,A quick facial recognition script using the webcam,Ruairidh Wynne-McHardy,"Glasgow, Scotland",[],https://github.com/ruairidhwm/facial-recognition.git,3,0
face-recognition,Testing some facial recognition API,Dean Pugh,Eastbourne,[],https://github.com/wezlar/face-recognition.git,2,0
idlm_Ben,This project is for the problem of inverse mapping for meta-material design using deep learning,Ben Ren,"Durham, NC",[],https://github.com/BensonRen/idlm_Ben.git,3,2
anomaly-detection,"Anomaly detection is a common problem that is applied to machine learning/deep learning research. Here we will apply an LSTM autoencoder (AE) to identify ECG anomaly detections. In our experiments, anomaly detection problem is a rare-event classification problem. Therefore we will train our LSTM AE with major class, then we would have a higher mean squared error when model sees a minor class in the dataset.",Numan Celik,Oxford,[],https://github.com/numancelik34/anomaly-detection.git,3,0
Multi-Face-Deep-Learning,DEEP LEARNING - Make your own program to recognize people's face from your own dataset,Jordan Maulana,"Gresik, East Java, Indonesia","['python', 'deep-learning', 'deep-neural-networks', 'tensoflow', 'tflearn', 'face-recognition', 'face-detection']",https://github.com/jordanmaulana/Multi-Face-Deep-Learning.git,2,2
Neural_Net_from_Scratch,python | deep learning | neural networks,Eduardo Coronado,"Durham, NC","['python', 'numpy', 'neural-networks', 'deep-learning', 'mnist']",https://github.com/ecoronado92/Neural_Net_from_Scratch.git,2,1
theories-dl,Code for C6.5 Theories of Deep Learning,Simon Vary,Oxford,[],https://github.com/SimonVary/theories-dl.git,2,0
Deep13Go,Go AI using deep learning via Python and Keras,Dr Eric Silverman,"Glasgow, Scotland",[],https://github.com/thorsilver/Deep13Go.git,2,0
cFavorita,A project for solving demand forecast of a medium retailer using a simple Deep Learning model,Iván Vallés Pérez,Cambridge,"['deep-learning', 'attention-mechanism', 'transformers', 'sequence-to-sequence']",https://github.com/ivallesp/cFavorita.git,2,0
karateclub,Karate Club: An API Oriented Open-source Python Framework for Unsupervised Learning on Graphs (CIKM 2020),Benedek Rozemberczki,Edinburgh,"['community-detection', 'graph-clustering', 'deepwalk', 'networkx', 'louvain', 'network-science', 'machine-learning', 'unsupervised-learning', 'gcn', 'node2vec', 'graph2vec', 'supervised-learning', 'sklearn', 'networkx-graph', 'scikit', 'label-propagation', 'graph-embedding', 'network-embedding', 'node-embedding', '2vec']",https://github.com/benedekrozemberczki/karateclub.git,1064,128
face-of-the-crowd,An interactive art installation using facial recognition.,Felix Hennig,"Edinburgh, Scotland","['python', 'art', 'facial-recognition', 'installation-art']",https://github.com/fhennig/face-of-the-crowd.git,5,0
HonoursProject,"My honours project at uni, using speech recognition and NAudio to try and work out possible user behavior in a multiplayer game context. Players are ranked according to behavior.",Gavin,Scotland,[],https://github.com/GavinMac/HonoursProject.git,2,0
Recurrent-Neural-Network,Speech Recognition on a small dataset using Python,Uddeshya Sinha,Glasgow,[],https://github.com/SinhaUddeshya/Recurrent-Neural-Network.git,1,0
myvision,Computer vision based ML training data generation tool :rocket:,Ovidijus Parsiunas,"Belfast, Northern Ireland","['ml', 'machine-learning', 'computer-vision', 'object-detection', 'training-data', 'annotation', 'labelling', 'annotation-tool', 'coco', 'vgg', 'tensorflow', 'yolo', 'model', 'create', 'image', 'vision']",https://github.com/OvidijusParsiunas/myvision.git,444,31
CSE_842,Natural Language Processing course at Michigan State University,Adam M. Terwilliger,"East Lansing, MI",[],https://github.com/adamtwig/CSE_842.git,1,0
ngs19,materials for #NGSchool2019 - Machine Learning for Biomedicine,#NGSchool,Central Europe and Eastern Europe,[],https://github.com/NGSchoolEU/ngs19.git,4,13
mlbook2ndedition,Code and Data to support the examples in Machine Learning: Hands On for Developers and Technical Professionals 2nd Edition,Jase Bell,"Limavady, Northern Ireland",[],https://github.com/jasebell/mlbook2ndedition.git,4,3
fpl,All my python scripts for Fantasy Premier League machine learning,Richard Dury,Nottingham,[],https://github.com/richardjdury/fpl.git,4,1
steganalyse,"Image & video steganalysis using machine learning in Python, submitted as my honours project at Abertay University",Jessica,Scotland,"['steganalysis', 'machine-learning']",https://github.com/jessica0x73/steganalyse.git,4,0
Machine-Learning-and-Data-Science-in-Politics,Implementations of Machine Learning and Data Science Methods in Politics.,Banyuwangi 2045,"Banyuwangi, East Java.","['machine-learning', 'data-science', 'politics']",https://github.com/Banyuwangi45/Machine-Learning-and-Data-Science-in-Politics.git,7,2
Applied-Machine-Learning-and-Data-Science-Recipes,"Applied Machine Learning & Data Science with Python, R and MATLAB",NILIMESH HALDER,"Perth, Australia",[],https://github.com/nilimesh/Applied-Machine-Learning-and-Data-Science-Recipes.git,6,4
Machine-Learning-and-Python-for-Beginners,"Machine Learning and Python for Beginners. This repo will contain all the materials for 6-7 week course I shall teach to non-ML experts at Harris Manchester College, University of Oxford. ",Bradley Gram-Hansen,Oxford,[],https://github.com/bayesianbrad/Machine-Learning-and-Python-for-Beginners.git,6,1
CVAE_for_QE,"Implementation of the paper ""Efficiently measuring a quantum device using machine learning""",Hyungil Moon,Oxford,[],https://github.com/returnddd/CVAE_for_QE.git,6,0
rpiTensorflowBlindspot,A basic machine learning object detection system for blind spots on vehicles. Made for the PA Pi Competition 2019,NUAST Students,Nottingham,[],https://github.com/nuast/rpiTensorflowBlindspot.git,6,1
ml-bias-fairness,Data and Model-based approaches for Mitigating Bias in Machine Learning Applications,Audace Nakeshimana,"Cambridge, Massachusetts from Kigali, Rwanda","['machine-learning', 'bias', 'fairness-ai', 'fairness', 'd-lab']",https://github.com/heyaudace/ml-bias-fairness.git,5,2
RAVE.jl,Statistical machine learning is all about gambling.,Kai Xu,Edinburgh,[],https://github.com/xukai92/RAVE.jl.git,5,1
Fault-Diagnosis-with-ML,"Fault Diagnosis with Machine Learning Methods, the dissertation project of my MSc Data Science degree at King's College London",Ernest Xu 徐嘉昌,Edinburgh,[],https://github.com/xujiachang1024/Fault-Diagnosis-with-ML.git,5,4
mathbasics,"Jean Gallier‘s Algebra, Topology, Differential Calculus, and Optimization Theory for Computer Science and Machine Learning Chinese version",HuangXiwei,Oxford,[],https://github.com/shxwhuang/mathbasics.git,5,1
twitter_real_time_clustering,Real-time Twitter Analysis using unsupervised learning,Rahul Kothari,Liverpool,"['covid-19', 'unsupervised-learning', 'twitter', 'twitter-api', 'clustering', 'kmeans-clustering']",https://github.com/rahul-kothari/twitter_real_time_clustering.git,3,0
Complex-CNN-Seismic,"Code accompanying the paper ""Complex-valued neural networks for machine learning on non-stationary physical data"".",Jesper Dramsch,Edinburgh,"['complex', 'complex-numbers', 'neural-network', 'seismic']",https://github.com/JesperDramsch/Complex-CNN-Seismic.git,3,4
iiccsss_intro2nnets,teaching material for my 2h graduate-level crash course on artificial neural networks,Timo Flesch,Oxford,"['deeplearning', 'gradient-descent', 'backpropagation-algorithm', 'teaching-material']",https://github.com/TimoFlesch/iiccsss_intro2nnets.git,3,0
intellgraph,"IntellGraph is an abbreviation of Intelligent Graph. As the name indicates, the IntellGraph framework is developed for Artifical Intelligence and is abstracted  based on Graph Theory. The project is still under development. In current version, users are able to use it for constructing fully connected deep neural networks  with different activation and loss functions (e.g. sigmoid activation function, mean square error loss function, cross-entropy loss function, etc). Examples  (in the example/ directory) are prepared to show the capability of the IntellGraph project and you are encouraged to study them before building your own neural  networks.",Lingbo Zhang,Cambridge,"['machine-learning', 'deep-neural-networks', 'deep-learning']",https://github.com/lingbozhang/intellgraph.git,3,1
lazuli,Liquid Haskell library for verifying neural networks.,Wen Kokke,"Edinburgh, Scotland","['liquid-haskell', 'smt-solver', 'neural-networks']",https://github.com/wenkokke/lazuli.git,2,0
gnn-entailment,Graph Neural Networks for Logical Entailment,Michael Rawson,Manchester University,[],https://github.com/MichaelRawson/gnn-entailment.git,2,1
transformative,neural network playground in pytorch,Nikolay Bogoychev,Edinburgh,[],https://github.com/XapaJIaMnu/transformative.git,2,0
NumPy-based-Neural-Network,A highly modular design and implementation of fully-connected feedforward neural network structured on NumPy matrices,Ernest Xu 徐嘉昌,Edinburgh,"['numpy', 'artificial-intelligence', 'machine-learning', 'deep-learning', 'neural-network', 'framework', 'matrix', 'forward-propagation', 'backward-propagation', 'gradient-descent', 'optimization', 'feedforward-neural-network', 'feedforward']",https://github.com/xujiachang1024/NumPy-based-Neural-Network.git,2,0
traffic_light_detection,The traffic light detection part for the Udacity Self driving car Capstone project,Yan Zhang,Cambridge,[],https://github.com/yz540/traffic_light_detection.git,1,0
lendingclub-analysis,Predicting loan default using machine learning. ,Mikey,Edinburgh,[],https://github.com/andmikey/lendingclub-analysis.git,3,1
basebot,A suite of tools for building virtual assistants and chatbots - by ANS Group,ANS,Manchester,"['chatbot', 'chatbot-framework', 'virtual-assistant', 'botkit-bots', 'directline', 'azure-bot-service']",https://github.com/ans-group/basebot.git,7,2
ClanLodging,"CodeClan Project Hotel Booking System using Java, JavaScript, Face Recognition",Ian Bone,Scotland,[],https://github.com/ianbone1/ClanLodging.git,1,2
Deep-Learning-,Face Recognition Software Using Deep Learning Techniques ,Himanshu Jain,"Durham, North Carolina ",[],https://github.com/himanshukj17122000/Deep-Learning-.git,1,0
YourOwnFaceRecognition,DEEP LEARNING - Probably the clearest example of face recognition using your very own dataset.,Jordan Maulana,"Gresik, East Java, Indonesia","['python', 'deep-learning', 'deep-neural-networks', 'tensorflow', 'tflearn', 'face-recognition', 'face-detection']",https://github.com/jordanmaulana/YourOwnFaceRecognition.git,1,1
conways-gol-cnn,A convolutional neural network that plays Conway's Game of Life.,Kyle Banks,"Edinburgh, Scotland","['convolutional-neural-networks', 'cnn-keras', 'cnn', 'conway-game', 'conways-game-of-life']",https://github.com/KyleBanks/conways-gol-cnn.git,9,0
GASEN,Genetic Algorithm based Selective Neural Network Ensemble,Harry Mills,Bristol,"['machine-learning', 'genetic-optimization-algorithm', 'nerual-network', 'genetic-algorithm', 'python', 'ensemble-machine-learning']",https://github.com/HarryMills/GASEN.git,6,1
spatial_LDA,"This repository contains the implementation of an image-based LDA model for use in semi-automation of the image annotation and data curation process. It uses unsupervised Latent Dirichlet Allocation (LDA), Scale-Invariant Feature Transform (SIFT), and ImageNet pre-trained Convolutional Neural Networks (CNNs) to group unlabeled images into different topics using clustered latent features.",Ryan Sander,"Cambridge, Massachusetts",[],https://github.com/rmsander/spatial_LDA.git,6,1
low-precision-nnd,"Source code for the paper: ""Low-Precision Neural Network Decoding of Polar Codes""",Igor Wodiany,Manchester,[],https://github.com/IgWod/low-precision-nnd.git,5,8
kernel_learning,A GPflow implementation of the Neural Kernel Network,Fergus,Cambridge,[],https://github.com/frgsimpson/kernel_learning.git,5,0
emotion-detection-app,Live emotion detection application using deep convolutional neural networks on python.  This project was part of the 2019 Summer of High Performance Computing for PRACE,Pablo Lluch,Edinburgh,[],https://github.com/pablolluchr/emotion-detection-app.git,5,2
bdl-benchmarks,Bayesian Deep Learning Benchmarks,OATML,"Department of Computer Science, University of Oxford","['bayesian-deep-learning', 'benchmark-framework', 'diabetic-retinopathy']",https://github.com/OATML/bdl-benchmarks.git,560,88
ancient-text-restoration,Restoring ancient text using deep learning: a case study on Greek epigraphy.,Thea Sommerschield,Oxford | Mediterranean,[],https://github.com/sommerschield/ancient-text-restoration.git,143,30
Pathology-GAN,"Corresponding code of 'Quiros A.C., Murray-Smith R., Yuan K. Pathology GAN: Learning deep representations of cancer tissue. Proceedings of The 3rd International Conference on Medical Imaging with Deep Learning (MIDL) 2020'",Adalberto Claudio Quiros,"Glasgow, Scotland","['gans', 'generative-adversarial-network', 'representation-learning', 'pathology-gan', 'digital-pathology', 'histopathology']",https://github.com/AdalbertoCq/Pathology-GAN.git,27,3
nnsubspace,Uncertainty Propagation in Deep Neural Network Using Active Subspace,Weiqi Ji,Cambridge,"['adversarial-example', 'deep-neural-networks', 'active-subspace', 'uncertainty-quantification']",https://github.com/jiweiqi/nnsubspace.git,4,4
4D-seismic-neural-inversion,Deep Neural Networks for Map-Based 4D Seismic Pressure-Saturation Inversion,Jesper Dramsch,Edinburgh,[],https://github.com/JesperDramsch/4D-seismic-neural-inversion.git,4,7
human_activity_detection,Fitting UCI HAR Dataset with neural network by Tensorflow. Data source: https://archive.ics.uci.edu/ml/datasets/human+activity+recognition+using+smartphones,Shiyu (Baran) Liu,"Durham, North Carolina",[],https://github.com/liushiyu1994/human_activity_detection.git,4,0
SV-RL,"[ICLR 2020, Oral] Harnessing Structures for Value-Based Planning and Reinforcement Learning",Yuzhe Yang,"Cambridge, Massachusetts","['reinforcement-learning', 'low-rank', 'planning', 'controls', 'deep-reinforcement-learning', 'value-iteration', 'matrix-completion', 'value-function']",https://github.com/YyzHarry/SV-RL.git,20,5
flask-ml-api-demo,Bham meetup presenting a demo creation of a Machine Learning API endpoint.,Jason Eisele,"Birmingham, AL",[],https://github.com/jmeisele/flask-ml-api-demo.git,2,2
uob-summer-project,"Machine Learning for Automated Vulnerability Detection in Source Code, Masters Project at University of Bristol.",Daniel Jones,England,[],https://github.com/dj311/uob-summer-project.git,2,3
SDSS-ML,These scripts explore galaxy/quasar/star classification from optical and infrared magnitudes using supervised machine learning.,Alex Clarke,Manchester,[],https://github.com/informationcake/SDSS-ML.git,2,0
rrt,Rapidly Expanding Random Tree Algorithm for Robotics Hackathon,Maurice Rahme,Cambridge,[],https://github.com/moribots/rrt.git,1,0
manacaster,"""Earth's Last Video Game"" - from Star Sailors Novel, github.com/acord-robotics",Liam Arbuckle,"Melbourne/Perth, Australia",[],https://github.com/Gizmotronn/manacaster.git,1,1
Bipedal-Walking-Robot,"For my Third Year Individual project/Dissertation I am designing, making, and testing a Bipedal Walking Robot.",Matt Edgson,University of Southampton,[],https://github.com/MattEdgson/Bipedal-Walking-Robot.git,1,0
drl-openai-retro,Deep Reinforcement Learning - Open AI Retro,William Prosek,"Port Lincoln, SA, 5606",[],https://github.com/adaptationio/drl-openai-retro.git,1,1
cs224n,CS224: Natural Language Processing with Deep Learning,Luis Perez,"Cambridge, MA",[],https://github.com/kandluis/cs224n.git,1,0
deep_learning_exercises,Some exercises to understand various kinds of deep neural networks and how they work.,Yamuna Krishnamurthy,"Surrey, England","['deep-neural-networks', 'deep-learning-tutorial', 'convolutional-neural-network', 'keras-tensorflow', 'ipython-notebook']",https://github.com/yamsgithub/deep_learning_exercises.git,1,0
CLDL,PhD project: a custom-designed closed-loop deep learning library that allows for creative learning rules,Sama,Glasgow,[],https://github.com/Sama-Darya/CLDL.git,1,0
deeplearning,"Deep Learning examples from ""Hands-On Machine Learning with Scikit-Learn and TensorFlow""",Leif Azzopardi,Glasgow,[],https://github.com/leifos/deeplearning.git,1,1
IEEE,Deep learning for wind turbine operational state prediction: towards feature-less condition monitoring,Adrian Stetco,Manchester,[],https://github.com/adrianstetco/IEEE.git,1,0
YourOwnFaceRecognition,DEEP LEARNING - Probably the clearest example of face recognition using your very own dataset.,Jordan Maulana,"Gresik, East Java, Indonesia","['python', 'deep-learning', 'deep-neural-networks', 'tensorflow', 'tflearn', 'face-recognition', 'face-detection']",https://github.com/jordanmaulana/YourOwnFaceRecognition.git,1,1
oyster_net,"Code for ""Deep learning for coastal resource conservation: automating detection of shellfish reefs"" manuscript.",Patrick Gray,"Durham, NC",[],https://github.com/patrickcgray/oyster_net.git,1,2
Deep-RL-Cars,Deep Reinforcement Learning with Simulated Cars | Koç University Spring 2018 | Winner Senior Design Project,Akyürek Lab,Cambridge,"['reinforcement-learning', 'dqn', 'deep-learning', 'machine-learning', 'self-driving-car']",https://github.com/akyureklab/Deep-RL-Cars.git,1,1
CS-540,My work from my graduate Machine Learning class at UBC,Kaan Yolsever,Oxford,[],https://github.com/yolsever/CS-540.git,1,0
CS-340-532M,My work from UBC's Machine Learning and Data Mining Class,Kaan Yolsever,Oxford,[],https://github.com/yolsever/CS-340-532M.git,1,1
Predicting_Matches_Esports,Business and Practical use cases for predicting matches in Esports using Machine Learning.,Justin Tsao,"Durham, NC",[],https://github.com/jltsao88/Predicting_Matches_Esports.git,1,1
Face-Distance-Prediction,MACHINE LEARNING - Predict distance between the camera and your face (only) from your own dataset using python and sklearn linear regression,Jordan Maulana,"Gresik, East Java, Indonesia","['python', 'machine-learning', 'linear-regression', 'face-detection']",https://github.com/jordanmaulana/Face-Distance-Prediction.git,1,0
idlm_Pytorch,The Pytorch version for the inverse deep learning meta material project,Ben Ren,"Durham, NC",[],https://github.com/BensonRen/idlm_Pytorch.git,1,4
